home_team,away_team,home_score,away_score,tournament,country,day,month,year,home_result,away_result,total_goals,serial,home_group,away_group,home_team_txt,away_team_txt,year_n,result,home_random,away_random,decade,home_result_desc,away_result_desc
Germany,Serbia,0,1,FIFA World Cup,South Africa,18,6,2010,-1,1,1,3367,1,1,Germany,Serbia,0,1,0.24104,0.62327,12,loser,winner
Cameroon,Denmark,1,2,FIFA World Cup,South Africa,19,6,2010,-1,1,3,3368,1,1,Cameroon,Denmark,0,1,0.77688,0.41931,12,loser,winner
Ghana,Australia,1,1,FIFA World Cup,South Africa,19,6,2010,0,0,2,3369,0,0,Ghana,Australia,0,0,0.54948,0.02343,12,draw,draw
Netherlands,Japan,1,0,FIFA World Cup,South Africa,19,6,2010,1,-1,1,3370,1,0,Netherlands,Japan,0,1,0.88577,0.81898,12,winner,loser
Mexico,Uruguay,0,1,FIFA World Cup,South Africa,22,6,2010,-1,1,1,3371,1,1,Mexico,Uruguay,0,1,0.94936,0.74944,12,loser,winner
Australia,Serbia,2,1,FIFA World Cup,South Africa,23,6,2010,1,-1,3,3372,0,1,Australia,Serbia,0,1,0.79225,0.83273,12,winner,loser
Ghana,Germany,0,1,FIFA World Cup,South Africa,23,6,2010,-1,1,1,3373,0,1,Ghana,Germany,0,1,0.09458,0.07696,12,loser,winner
Cameroon,Netherlands,1,2,FIFA World Cup,South Africa,24,6,2010,-1,1,3,3374,1,1,Cameroon,Netherlands,0,1,0.498,0.76081,12,loser,winner
Denmark,Japan,1,3,FIFA World Cup,South Africa,24,6,2010,-2,2,4,3375,1,0,Denmark,Japan,0,2,0.45454,0.80114,12,loser,winner
Portugal,Brazil,0,0,FIFA World Cup,South Africa,25,6,2010,0,0,0,3376,1,0,Portugal,Brazil,0,0,0.32133,0.62745,12,draw,draw
Uruguay,South Korea,2,1,FIFA World Cup,South Africa,26,6,2010,1,-1,3,3377,1,0,Uruguay,South_Korea,0,1,0.26865,0.54224,12,winner,loser
United States,Ghana,1,2,FIFA World Cup,South Africa,26,6,2010,-1,1,3,3378,0,0,United_States,Ghana,0,1,0.89619,0.97019,12,loser,winner
