team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
Australia,Argentina,أستراليا,الأرجنتين,1,5,1,7,14,71,14,Australia,Argentina
Belgium,Argentina,بلجيكا,الأرجنتين,0,3,1,4,25,75,0,Belgium,Argentina
Brazil,Argentina,البرازيل,الأرجنتين,26,39,43,108,40,36,24,Brazil,Argentina
Cameroon,Argentina,الكاميرون,الأرجنتين,1,0,1,2,50,0,50,Cameroon,Argentina
Canada,Argentina,كندا,الأرجنتين,0,1,0,1,0,100,0,Canada,Argentina
Costa Rica,Argentina,كوستا ريكا,الأرجنتين,2,4,0,6,0,67,33,Costa_Rica,Argentina
Croatia,Argentina,كرواتيا,الأرجنتين,1,2,2,5,40,40,20,Croatia,Argentina
Denmark,Argentina,الدنمارك,الأرجنتين,1,0,1,2,50,0,50,Denmark,Argentina
Ecuador,Argentina,الاكوادور,الأرجنتين,11,21,5,37,14,57,30,Ecuador,Argentina
England,Argentina,إنجلترا,الأرجنتين,6,3,6,15,40,20,40,England,Argentina
France,Argentina,فرنسا,الأرجنتين,3,6,3,12,25,50,25,France,Argentina
Germany,Argentina,ألمانيا,الأرجنتين,6,10,7,23,30,43,26,Germany,Argentina
Ghana,Argentina,غانا,الأرجنتين,0,1,0,1,0,100,0,Ghana,Argentina
Iran,Argentina,إيران,الأرجنتين,1,1,0,2,0,50,50,Iran,Argentina
Japan,Argentina,اليابان,الأرجنتين,0,6,1,7,14,86,0,Japan,Argentina
Mexico,Argentina,المكسيك,الأرجنتين,12,15,4,31,13,48,39,Mexico,Argentina
Morocco,Argentina,المغرب,الأرجنتين,0,3,0,3,0,100,0,Morocco,Argentina
Netherlands,Argentina,هولندا,الأرجنتين,4,1,4,9,44,11,44,Netherlands,Argentina
Poland,Argentina,بولندا,الأرجنتين,2,6,3,11,27,55,18,Poland,Argentina
Portugal,Argentina,البرتغال,الأرجنتين,1,5,2,8,25,62,12,Portugal,Argentina
Qatar,Argentina,قطر,الأرجنتين,0,2,0,2,0,100,0,Qatar,Argentina
Saudi Arabia,Argentina,السعودية,الأرجنتين,2,2,0,4,0,50,50,Saudi_Arabia,Argentina
Serbia,Argentina,صربيا,الأرجنتين,0,3,1,4,25,75,0,Serbia,Argentina
South Korea,Argentina,كوريا الجنوبية,الأرجنتين,0,3,0,3,0,100,0,South_Korea,Argentina
Spain,Argentina,إسبانيا,الأرجنتين,2,6,6,14,43,43,14,Spain,Argentina
Switzerland,Argentina,سويسرا,الأرجنتين,2,5,0,7,0,71,29,Switzerland,Argentina
Tunisia,Argentina,تونس,الأرجنتين,0,1,0,1,0,100,0,Tunisia,Argentina
United States,Argentina,الولايات المتحدة ,الأرجنتين,2,6,2,10,20,60,20,United_States,Argentina
Uruguay,Argentina,أوروغواي,الأرجنتين,43,84,52,179,29,47,24,Uruguay,Argentina
Wales,Argentina,ويلز,الأرجنتين,1,1,0,2,0,50,50,Wales,Argentina
Argentina,Australia,الأرجنتين,أستراليا,1,1,5,7,71,14,14,Argentina,Australia
Belgium,Australia,بلجيكا,أستراليا,0,0,1,1,100,0,0,Belgium,Australia
Brazil,Australia,البرازيل,أستراليا,1,1,6,8,75,12,12,Brazil,Australia
Cameroon,Australia,الكاميرون,أستراليا,1,0,0,1,0,0,100,Cameroon,Australia
Canada,Australia,كندا,أستراليا,1,5,3,9,33,56,11,Canada,Australia
Costa Rica,Australia,كوستا ريكا,أستراليا,0,1,0,1,0,100,0,Costa_Rica,Australia
Croatia,Australia,كرواتيا,أستراليا,2,2,2,6,33,33,33,Croatia,Australia
Denmark,Australia,الدنمارك,أستراليا,1,1,2,4,50,25,25,Denmark,Australia
Ecuador,Australia,الاكوادور,أستراليا,0,0,1,1,100,0,0,Ecuador,Australia
England,Australia,إنجلترا,أستراليا,2,1,4,7,57,14,29,England,Australia
France,Australia,فرنسا,أستراليا,1,1,3,5,60,20,20,France,Australia
Germany,Australia,ألمانيا,أستراليا,1,1,4,6,67,17,17,Germany,Australia
Ghana,Australia,غانا,أستراليا,2,4,1,7,14,57,29,Ghana,Australia
Iran,Australia,إيران,أستراليا,2,2,3,7,43,29,29,Iran,Australia
Japan,Australia,اليابان,أستراليا,9,6,11,26,42,23,35,Japan,Australia
Mexico,Australia,المكسيك,أستراليا,2,2,0,4,0,50,50,Mexico,Australia
Morocco,Australia,المغرب,أستراليا,0,1,0,1,0,100,0,Morocco,Australia
Netherlands,Australia,هولندا,أستراليا,2,1,1,4,25,25,50,Netherlands,Australia
Poland,Australia,بولندا,أستراليا,0,1,0,1,0,100,0,Poland,Australia
Qatar,Australia,قطر,أستراليا,1,3,1,5,20,60,20,Qatar,Australia
Saudi Arabia,Australia,السعودية,أستراليا,3,5,2,10,20,50,30,Saudi_Arabia,Australia
Serbia,Australia,صربيا,أستراليا,1,1,0,2,0,50,50,Serbia,Australia
South Korea,Australia,كوريا الجنوبية,أستراليا,11,9,8,28,29,32,39,South_Korea,Australia
Spain,Australia,إسبانيا,أستراليا,0,0,1,1,100,0,0,Spain,Australia
Switzerland,Australia,سويسرا,أستراليا,1,0,0,1,0,0,100,Switzerland,Australia
Tunisia,Australia,تونس,أستراليا,0,0,1,1,100,0,0,Tunisia,Australia
United States,Australia,الولايات المتحدة ,أستراليا,1,1,1,3,33,33,33,United_States,Australia
Uruguay,Australia,أوروغواي,أستراليا,0,3,4,7,57,43,0,Uruguay,Australia
Wales,Australia,ويلز,أستراليا,0,1,0,1,0,100,0,Wales,Australia
Argentina,Belgium,الأرجنتين,بلجيكا,0,1,3,4,75,25,0,Argentina,Belgium
Australia,Belgium,أستراليا,بلجيكا,0,1,0,1,0,100,0,Australia,Belgium
Brazil,Belgium,البرازيل,بلجيكا,0,2,3,5,60,40,0,Brazil,Belgium
Canada,Belgium,كندا,بلجيكا,0,1,0,1,0,100,0,Canada,Belgium
Costa Rica,Belgium,كوستا ريكا,بلجيكا,0,2,0,2,0,100,0,Costa_Rica,Belgium
Croatia,Belgium,كرواتيا,بلجيكا,2,3,3,8,38,38,25,Croatia,Belgium
Denmark,Belgium,الدنمارك,بلجيكا,3,7,6,16,38,44,19,Denmark,Belgium
England,Belgium,إنجلترا,بلجيكا,5,4,17,26,65,15,19,England,Belgium
France,Belgium,فرنسا,بلجيكا,19,30,26,75,35,40,25,France,Belgium
Germany,Belgium,ألمانيا,بلجيكا,1,4,20,25,80,16,4,Germany,Belgium
Japan,Belgium,اليابان,بلجيكا,2,2,2,6,33,33,33,Japan,Belgium
Mexico,Belgium,المكسيك,بلجيكا,2,2,3,7,43,29,29,Mexico,Belgium
Morocco,Belgium,المغرب,بلجيكا,0,2,1,3,33,67,0,Morocco,Belgium
Netherlands,Belgium,هولندا,بلجيكا,31,40,55,126,44,32,25,Netherlands,Belgium
Poland,Belgium,بولندا,بلجيكا,6,8,7,21,33,38,29,Poland,Belgium
Portugal,Belgium,البرتغال,بلجيكا,7,6,6,19,32,32,37,Portugal,Belgium
Qatar,Belgium,قطر,بلجيكا,0,1,0,1,0,100,0,Qatar,Belgium
Saudi Arabia,Belgium,السعودية,بلجيكا,0,2,1,3,33,67,0,Saudi_Arabia,Belgium
Serbia,Belgium,صربيا,بلجيكا,1,3,2,6,33,50,17,Serbia,Belgium
South Korea,Belgium,كوريا الجنوبية,بلجيكا,1,3,0,4,0,75,25,South_Korea,Belgium
Spain,Belgium,إسبانيا,بلجيكا,6,4,11,21,52,19,29,Spain,Belgium
Switzerland,Belgium,سويسرا,بلجيكا,6,15,9,30,30,50,20,Switzerland,Belgium
Tunisia,Belgium,تونس,بلجيكا,1,2,1,4,25,50,25,Tunisia,Belgium
United States,Belgium,الولايات المتحدة ,بلجيكا,0,5,1,6,17,83,0,United_States,Belgium
Uruguay,Belgium,أوروغواي,بلجيكا,0,2,0,2,0,100,0,Uruguay,Belgium
Wales,Belgium,ويلز,بلجيكا,5,6,5,16,31,38,31,Wales,Belgium
Argentina,Brazil,الأرجنتين,البرازيل,26,43,39,108,36,40,24,Argentina,Brazil
Australia,Brazil,أستراليا,البرازيل,1,6,1,8,12,75,12,Australia,Brazil
Belgium,Brazil,بلجيكا,البرازيل,0,3,2,5,40,60,0,Belgium,Brazil
Cameroon,Brazil,الكاميرون,البرازيل,0,5,1,6,17,83,0,Cameroon,Brazil
Canada,Brazil,كندا,البرازيل,2,2,0,4,0,50,50,Canada,Brazil
Costa Rica,Brazil,كوستا ريكا,البرازيل,0,10,1,11,9,91,0,Costa_Rica,Brazil
Croatia,Brazil,كرواتيا,البرازيل,1,3,0,4,0,75,25,Croatia,Brazil
Denmark,Brazil,الدنمارك,البرازيل,0,3,1,4,25,75,0,Denmark,Brazil
Ecuador,Brazil,الاكوادور,البرازيل,6,26,2,34,6,76,18,Ecuador,Brazil
England,Brazil,إنجلترا,البرازيل,11,11,4,26,15,42,42,England,Brazil
France,Brazil,فرنسا,البرازيل,4,7,5,16,31,44,25,France,Brazil
Germany,Brazil,ألمانيا,البرازيل,5,13,5,23,22,57,22,Germany,Brazil
Ghana,Brazil,غانا,البرازيل,0,5,0,5,0,100,0,Ghana,Brazil
Iran,Brazil,إيران,البرازيل,0,1,0,1,0,100,0,Iran,Brazil
Japan,Brazil,اليابان,البرازيل,2,11,0,13,0,85,15,Japan,Brazil
Mexico,Brazil,المكسيك,البرازيل,7,24,10,41,24,59,17,Mexico,Brazil
Morocco,Brazil,المغرب,البرازيل,0,2,0,2,0,100,0,Morocco,Brazil
Netherlands,Brazil,هولندا,البرازيل,5,3,4,12,33,25,42,Netherlands,Brazil
Poland,Brazil,بولندا,البرازيل,2,9,1,12,8,75,17,Poland,Brazil
Portugal,Brazil,البرتغال,البرازيل,3,14,4,21,19,67,14,Portugal,Brazil
Qatar,Brazil,قطر,البرازيل,0,1,0,1,0,100,0,Qatar,Brazil
Saudi Arabia,Brazil,السعودية,البرازيل,0,5,0,5,0,100,0,Saudi_Arabia,Brazil
Senegal,Brazil,السنغال,البرازيل,1,0,0,1,0,0,100,Senegal,Brazil
Serbia,Brazil,صربيا,البرازيل,1,4,0,5,0,80,20,Serbia,Brazil
South Korea,Brazil,كوريا الجنوبية,البرازيل,0,6,1,7,14,86,0,South_Korea,Brazil
Spain,Brazil,إسبانيا,البرازيل,2,5,2,9,22,56,22,Spain,Brazil
Switzerland,Brazil,سويسرا,البرازيل,4,3,2,9,22,33,44,Switzerland,Brazil
Tunisia,Brazil,تونس,البرازيل,0,2,0,2,0,100,0,Tunisia,Brazil
United States,Brazil,الولايات المتحدة ,البرازيل,0,17,1,18,6,94,0,United_States,Brazil
Uruguay,Brazil,أوروغواي,البرازيل,19,37,20,76,26,49,25,Uruguay,Brazil
Wales,Brazil,ويلز,البرازيل,1,8,1,10,10,80,10,Wales,Brazil
Argentina,Cameroon,الأرجنتين,الكاميرون,1,1,0,2,0,50,50,Argentina,Cameroon
Australia,Cameroon,أستراليا,الكاميرون,1,0,0,1,0,0,100,Australia,Cameroon
Brazil,Cameroon,البرازيل,الكاميرون,0,1,5,6,83,17,0,Brazil,Cameroon
Canada,Cameroon,كندا,الكاميرون,0,1,0,1,0,100,0,Canada,Cameroon
Costa Rica,Cameroon,كوستا ريكا,الكاميرون,0,0,1,1,100,0,0,Costa_Rica,Cameroon
Croatia,Cameroon,كرواتيا,الكاميرون,0,0,1,1,100,0,0,Croatia,Cameroon
Denmark,Cameroon,الدنمارك,الكاميرون,0,1,2,3,67,33,0,Denmark,Cameroon
England,Cameroon,إنجلترا,الكاميرون,1,0,3,4,75,0,25,England,Cameroon
France,Cameroon,فرنسا,الكاميرون,1,0,2,3,67,0,33,France,Cameroon
Germany,Cameroon,ألمانيا,الكاميرون,1,0,3,4,75,0,25,Germany,Cameroon
Ghana,Cameroon,غانا,الكاميرون,4,2,2,8,25,25,50,Ghana,Cameroon
Iran,Cameroon,إيران,الكاميرون,2,0,0,2,0,0,100,Iran,Cameroon
Japan,Cameroon,اليابان,الكاميرون,2,0,3,5,60,0,40,Japan,Cameroon
Mexico,Cameroon,المكسيك,الكاميرون,0,0,2,2,100,0,0,Mexico,Cameroon
Morocco,Cameroon,المغرب,الكاميرون,4,6,1,11,9,55,36,Morocco,Cameroon
Netherlands,Cameroon,هولندا,الكاميرون,1,0,2,3,67,0,33,Netherlands,Cameroon
Poland,Cameroon,بولندا,الكاميرون,2,1,0,3,0,33,67,Poland,Cameroon
Portugal,Cameroon,البرتغال,الكاميرون,0,0,2,2,100,0,0,Portugal,Cameroon
Saudi Arabia,Cameroon,السعودية,الكاميرون,1,2,2,5,40,40,20,Saudi_Arabia,Cameroon
Senegal,Cameroon,السنغال,الكاميرون,5,3,5,13,38,23,38,Senegal,Cameroon
Serbia,Cameroon,صربيا,الكاميرون,0,0,1,1,100,0,0,Serbia,Cameroon
South Korea,Cameroon,كوريا الجنوبية,الكاميرون,2,0,3,5,60,0,40,South_Korea,Cameroon
Tunisia,Cameroon,تونس,الكاميرون,7,9,3,19,16,47,37,Tunisia,Cameroon
United States,Cameroon,الولايات المتحدة ,الكاميرون,1,0,0,1,0,0,100,United_States,Cameroon
Argentina,Canada,الأرجنتين,كندا,0,0,1,1,100,0,0,Argentina,Canada
Australia,Canada,أستراليا,كندا,1,3,5,9,56,33,11,Australia,Canada
Belgium,Canada,بلجيكا,كندا,0,0,1,1,100,0,0,Belgium,Canada
Brazil,Canada,البرازيل,كندا,2,0,2,4,50,0,50,Brazil,Canada
Cameroon,Canada,الكاميرون,كندا,0,0,1,1,100,0,0,Cameroon,Canada
Costa Rica,Canada,كوستا ريكا,كندا,9,6,9,24,38,25,38,Costa_Rica,Canada
Denmark,Canada,الدنمارك,كندا,0,0,1,1,100,0,0,Denmark,Canada
Ecuador,Canada,الاكوادور,كندا,1,0,2,3,67,0,33,Ecuador,Canada
England,Canada,إنجلترا,كندا,0,0,1,1,100,0,0,England,Canada
France,Canada,فرنسا,كندا,0,0,1,1,100,0,0,France,Canada
Germany,Canada,ألمانيا,كندا,0,0,2,2,100,0,0,Germany,Canada
Ghana,Canada,غانا,كندا,0,1,0,1,0,100,0,Ghana,Canada
Iran,Canada,إيران,كندا,0,1,2,3,67,33,0,Iran,Canada
Japan,Canada,اليابان,كندا,0,0,2,2,100,0,0,Japan,Canada
Mexico,Canada,المكسيك,كندا,8,4,21,33,64,12,24,Mexico,Canada
Morocco,Canada,المغرب,كندا,1,0,2,3,67,0,33,Morocco,Canada
Netherlands,Canada,هولندا,كندا,0,0,1,1,100,0,0,Netherlands,Canada
Poland,Canada,بولندا,كندا,0,0,6,6,100,0,0,Poland,Canada
Portugal,Canada,البرتغال,كندا,1,0,1,2,50,0,50,Portugal,Canada
Qatar,Canada,السعودية,كندا,0,1,0,1,0,100,0,Qatar,Canada
Saudi Arabia,Canada,كوريا الجنوبية,كندا,0,0,1,1,100,0,0,Saudi_Arabia,Canada
South Korea,Canada,إسبانيا,كندا,1,2,2,5,40,40,20,South_Korea,Canada
Spain,Canada,سويسرا,كندا,0,0,2,2,100,0,0,Spain,Canada
Switzerland,Canada,تونس,كندا,0,1,0,1,0,100,0,Switzerland,Canada
Tunisia,Canada,الولايات المتحدة ,كندا,0,0,1,1,100,0,0,Tunisia,Canada
United States,Canada,أوروغواي,كندا,11,10,15,36,42,28,31,United_States,Canada
Uruguay,Canada,ويلز,كندا,0,0,2,2,100,0,0,Uruguay,Canada
Wales,Canada,قطر,كندا,0,1,2,3,67,33,0,Wales,Canada
Argentina,Costa Rica,الأرجنتين,كوستا ريكا,2,0,4,6,67,0,33,Argentina,Costa_Rica
Australia,Costa Rica,أستراليا,كوستا ريكا,0,0,1,1,100,0,0,Australia,Costa_Rica
Belgium,Costa Rica,بلجيكا,كوستا ريكا,0,0,2,2,100,0,0,Belgium,Costa_Rica
Brazil,Costa Rica,البرازيل,كوستا ريكا,0,1,10,11,91,9,0,Brazil,Costa_Rica
Cameroon,Costa Rica,الكاميرون,كوستا ريكا,0,1,0,1,0,100,0,Cameroon,Costa_Rica
Canada,Costa Rica,كندا,كوستا ريكا,9,9,6,24,25,38,38,Canada,Costa_Rica
Ecuador,Costa Rica,الاكوادور,كوستا ريكا,5,1,5,11,45,9,45,Ecuador,Costa_Rica
England,Costa Rica,إنجلترا,كوستا ريكا,1,0,1,2,50,0,50,England,Costa_Rica
France,Costa Rica,فرنسا,كوستا ريكا,0,0,2,2,100,0,0,France,Costa_Rica
Germany,Costa Rica,ألمانيا,كوستا ريكا,0,0,1,1,100,0,0,Germany,Costa_Rica
Iran,Costa Rica,إيران,كوستا ريكا,1,0,1,2,50,0,50,Iran,Costa_Rica
Japan,Costa Rica,اليابان,كوستا ريكا,1,0,3,4,75,0,25,Japan,Costa_Rica
Mexico,Costa Rica,المكسيك,كوستا ريكا,19,6,28,53,53,11,36,Mexico,Costa_Rica
Netherlands,Costa Rica,هولندا,كوستا ريكا,1,0,0,1,0,0,100,Netherlands,Costa_Rica
Poland,Costa Rica,بولندا,كوستا ريكا,0,0,2,2,100,0,0,Poland,Costa_Rica
Qatar,Costa Rica,قطر,كوستا ريكا,1,0,0,1,0,0,100,Qatar,Costa_Rica
Saudi Arabia,Costa Rica,السعودية,كوستا ريكا,0,3,1,4,25,75,0,Saudi_Arabia,Costa_Rica
Serbia,Costa Rica,صربيا,كوستا ريكا,0,0,1,1,100,0,0,Serbia,Costa_Rica
South Korea,Costa Rica,كوريا الجنوبية,كوستا ريكا,3,3,4,10,40,30,30,South_Korea,Costa_Rica
Spain,Costa Rica,إسبانيا,كوستا ريكا,1,0,2,3,67,0,33,Spain,Costa_Rica
Switzerland,Costa Rica,سويسرا,كوستا ريكا,1,1,1,3,33,33,33,Switzerland,Costa_Rica
Tunisia,Costa Rica,تونس,كوستا ريكا,0,0,1,1,100,0,0,Tunisia,Costa_Rica
United States,Costa Rica,الولايات المتحدة ,كوستا ريكا,6,16,19,41,46,39,15,United_States,Costa_Rica
Uruguay,Costa Rica,أوروغواي,كوستا ريكا,3,1,6,10,60,10,30,Uruguay,Costa_Rica
Wales,Costa Rica,ويلز,كوستا ريكا,0,1,1,2,50,50,0,Wales,Costa_Rica
Argentina,Croatia,الأرجنتين,كرواتيا,1,2,2,5,40,40,20,Argentina,Croatia
Australia,Croatia,أستراليا,كرواتيا,2,2,2,6,33,33,33,Australia,Croatia
Belgium,Croatia,بلجيكا,كرواتيا,2,3,3,8,38,38,25,Belgium,Croatia
Brazil,Croatia,البرازيل,كرواتيا,1,0,3,4,75,0,25,Brazil,Croatia
Cameroon,Croatia,الكاميرون,كرواتيا,0,1,0,1,0,100,0,Cameroon,Croatia
Denmark,Croatia,الدنمارك,كرواتيا,2,3,2,7,29,43,29,Denmark,Croatia
Ecuador,Croatia,الاكوادور,كرواتيا,0,0,1,1,100,0,0,Ecuador,Croatia
England,Croatia,إنجلترا,كرواتيا,2,3,6,11,55,27,18,England,Croatia
France,Croatia,فرنسا,كرواتيا,3,1,6,10,60,10,30,France,Croatia
Germany,Croatia,ألمانيا,كرواتيا,1,2,5,8,62,25,12,Germany,Croatia
Iran,Croatia,إيران,كرواتيا,1,1,0,2,0,50,50,Iran,Croatia
Japan,Croatia,اليابان,كرواتيا,1,1,1,3,33,33,33,Japan,Croatia
Mexico,Croatia,المكسيك,كرواتيا,0,4,2,6,33,67,0,Mexico,Croatia
Morocco,Croatia,المغرب,كرواتيا,1,0,0,1,0,0,100,Morocco,Croatia
Netherlands,Croatia,هولندا,كرواتيا,0,1,1,2,50,50,0,Netherlands,Croatia
Poland,Croatia,بولندا,كرواتيا,1,3,1,5,20,60,20,Poland,Croatia
Portugal,Croatia,البرتغال,كرواتيا,1,0,6,7,86,0,14,Portugal,Croatia
Qatar,Croatia,قطر,كرواتيا,0,1,0,1,0,100,0,Qatar,Croatia
Senegal,Croatia,السنغال,كرواتيا,0,1,0,1,0,100,0,Senegal,Croatia
Serbia,Croatia,صربيا,كرواتيا,3,2,0,5,0,40,60,Serbia,Croatia
South Korea,Croatia,كوريا الجنوبية,كرواتيا,2,3,2,7,29,43,29,South_Korea,Croatia
Spain,Croatia,إسبانيا,كرواتيا,1,3,5,9,56,33,11,Spain,Croatia
Switzerland,Croatia,سويسرا,كرواتيا,2,3,2,7,29,43,29,Switzerland,Croatia
Tunisia,Croatia,تونس,كرواتيا,0,0,1,1,100,0,0,Tunisia,Croatia
United States,Croatia,الولايات المتحدة ,كرواتيا,0,1,0,1,0,100,0,United_States,Croatia
Wales,Croatia,ويلز,كرواتيا,2,4,0,6,0,67,33,Wales,Croatia
Argentina,Denmark,الأرجنتين,الدنمارك,1,1,0,2,0,50,50,Argentina,Denmark
Australia,Denmark,أستراليا,الدنمارك,1,2,1,4,25,50,25,Australia,Denmark
Belgium,Denmark,بلجيكا,الدنمارك,3,6,7,16,44,38,19,Belgium,Denmark
Brazil,Denmark,البرازيل,الدنمارك,0,1,3,4,75,25,0,Brazil,Denmark
Cameroon,Denmark,الكاميرون,الدنمارك,0,2,1,3,33,67,0,Cameroon,Denmark
Canada,Denmark,كندا,الدنمارك,0,1,0,1,0,100,0,Canada,Denmark
Croatia,Denmark,كرواتيا,الدنمارك,2,2,3,7,43,29,29,Croatia,Denmark
England,Denmark,إنجلترا,الدنمارك,5,4,13,22,59,18,23,England,Denmark
France,Denmark,فرنسا,الدنمارك,2,5,8,15,53,33,13,France,Denmark
Germany,Denmark,ألمانيا,الدنمارك,5,8,15,28,54,29,18,Germany,Denmark
Ghana,Denmark,غانا,الدنمارك,0,1,0,1,0,100,0,Ghana,Denmark
Iran,Denmark,إيران,الدنمارك,1,0,0,1,0,0,100,Iran,Denmark
Japan,Denmark,اليابان,الدنمارك,0,1,1,2,50,50,0,Japan,Denmark
Mexico,Denmark,المكسيك,الدنمارك,2,2,1,5,20,40,40,Mexico,Denmark
Netherlands,Denmark,هولندا,الدنمارك,10,8,13,31,42,26,32,Netherlands,Denmark
Poland,Denmark,بولندا,الدنمارك,1,10,8,19,42,53,5,Poland,Denmark
Portugal,Denmark,البرتغال,الدنمارك,2,3,10,15,67,20,13,Portugal,Denmark
Saudi Arabia,Denmark,السعودية,الدنمارك,0,3,0,3,0,100,0,Saudi_Arabia,Denmark
Senegal,Denmark,السنغال,الدنمارك,1,2,0,3,0,67,33,Senegal,Denmark
Serbia,Denmark,صربيا,الدنمارك,0,3,0,3,0,100,0,Serbia,Denmark
South Korea,Denmark,كوريا الجنوبية,الدنمارك,1,0,0,1,0,0,100,South_Korea,Denmark
Spain,Denmark,إسبانيا,الدنمارك,3,2,11,16,69,12,19,Spain,Denmark
Switzerland,Denmark,سويسرا,الدنمارك,6,4,2,12,17,33,50,Switzerland,Denmark
Tunisia,Denmark,تونس,الدنمارك,0,1,0,1,0,100,0,Tunisia,Denmark
United States,Denmark,الولايات المتحدة ,الدنمارك,1,2,0,3,0,67,33,United_States,Denmark
Uruguay,Denmark,أوروغواي,الدنمارك,0,2,0,2,0,100,0,Uruguay,Denmark
Wales,Denmark,ويلز,الدنمارك,0,7,4,11,36,64,0,Wales,Denmark
Argentina,Ecuador,الأرجنتين,الاكوادور,11,5,21,37,57,14,30,Argentina,Ecuador
Australia,Ecuador,أستراليا,الاكوادور,0,1,0,1,0,100,0,Australia,Ecuador
Brazil,Ecuador,البرازيل,الاكوادور,6,2,26,34,76,6,18,Brazil,Ecuador
Canada,Ecuador,كندا,الاكوادور,1,2,0,3,0,67,33,Canada,Ecuador
Costa Rica,Ecuador,كوستا ريكا,الاكوادور,5,5,1,11,9,45,45,Costa_Rica,Ecuador
Croatia,Ecuador,كرواتيا,الاكوادور,0,1,0,1,0,100,0,Croatia,Ecuador
England,Ecuador,إنجلترا,الاكوادور,1,0,2,3,67,0,33,England,Ecuador
France,Ecuador,فرنسا,الاكوادور,1,0,1,2,50,0,50,France,Ecuador
Germany,Ecuador,ألمانيا,الاكوادور,0,0,2,2,100,0,0,Germany,Ecuador
Iran,Ecuador,إيران,الاكوادور,2,1,0,3,0,33,67,Iran,Ecuador
Japan,Ecuador,اليابان,الاكوادور,2,0,2,4,50,0,50,Japan,Ecuador
Mexico,Ecuador,المكسيك,الاكوادور,6,4,14,24,58,17,25,Mexico,Ecuador
Netherlands,Ecuador,هولندا,الاكوادور,1,0,1,2,50,0,50,Netherlands,Ecuador
Poland,Ecuador,بولندا,الاكوادور,1,1,1,3,33,33,33,Poland,Ecuador
Portugal,Ecuador,البرتغال,الاكوادور,0,1,1,2,50,50,0,Portugal,Ecuador
Qatar,Ecuador,قطر,الاكوادور,1,1,1,3,33,33,33,Qatar,Ecuador
Saudi Arabia,Ecuador,السنغال,الاكوادور,1,0,0,1,0,0,100,Saudi_Arabia,Ecuador
Senegal,Ecuador,صربيا,الاكوادور,0,0,2,2,100,0,0,Senegal,Ecuador
Serbia,Ecuador,كوريا الجنوبية,الاكوادور,0,1,0,1,0,100,0,Serbia,Ecuador
South Korea,Ecuador,إسبانيا,الاكوادور,0,1,1,2,50,50,0,South_Korea,Ecuador
Spain,Ecuador,سويسرا,الاكوادور,0,0,2,2,100,0,0,Spain,Ecuador
Switzerland,Ecuador,الولايات المتحدة ,الاكوادور,0,0,1,1,100,0,0,Switzerland,Ecuador
United States,Ecuador,أوروغواي,الاكوادور,4,5,4,13,31,38,31,United_States,Ecuador
Uruguay,Ecuador,السعودية,الاكوادور,10,7,31,48,65,15,21,Uruguay,Ecuador
Argentina,England,الأرجنتين,إنجلترا,6,6,3,15,20,40,40,Argentina,England
Australia,England,أستراليا,إنجلترا,2,4,1,7,14,57,29,Australia,England
Belgium,England,بلجيكا,إنجلترا,5,17,4,26,15,65,19,Belgium,England
Brazil,England,البرازيل,إنجلترا,11,4,11,26,42,15,42,Brazil,England
Cameroon,England,الكاميرون,إنجلترا,1,3,0,4,0,75,25,Cameroon,England
Canada,England,كندا,إنجلترا,0,1,0,1,0,100,0,Canada,England
Costa Rica,England,كوستا ريكا,إنجلترا,1,1,0,2,0,50,50,Costa_Rica,England
Croatia,England,كرواتيا,إنجلترا,2,6,3,11,27,55,18,Croatia,England
Denmark,England,الدنمارك,إنجلترا,5,13,4,22,18,59,23,Denmark,England
Ecuador,England,الاكوادور,إنجلترا,1,2,0,3,0,67,33,Ecuador,England
France,England,فرنسا,إنجلترا,6,17,10,33,30,52,18,France,England
Germany,England,ألمانيا,إنجلترا,7,14,13,34,38,41,21,Germany,England
Ghana,England,غانا,إنجلترا,1,0,0,1,0,0,100,Ghana,England
Japan,England,اليابان,إنجلترا,1,2,0,3,0,67,33,Japan,England
Mexico,England,المكسيك,إنجلترا,1,7,2,10,20,70,10,Mexico,England
Morocco,England,المغرب,إنجلترا,1,1,0,2,0,50,50,Morocco,England
Netherlands,England,هولندا,إنجلترا,9,6,7,22,32,27,41,Netherlands,England
Poland,England,بولندا,إنجلترا,8,12,1,21,5,57,38,Poland,England
Portugal,England,البرتغال,إنجلترا,10,10,3,23,13,43,43,Portugal,England
Saudi Arabia,England,السعودية,إنجلترا,2,0,0,2,0,0,100,Saudi_Arabia,England
Serbia,England,صربيا,إنجلترا,0,1,0,1,0,100,0,Serbia,England
South Korea,England,كوريا الجنوبية,إنجلترا,1,0,0,1,0,0,100,South_Korea,England
Spain,England,إسبانيا,إنجلترا,4,13,10,27,37,48,15,Spain,England
Switzerland,England,سويسرا,إنجلترا,6,19,4,29,14,66,21,Switzerland,England
Tunisia,England,تونس,إنجلترا,1,2,0,3,0,67,33,Tunisia,England
United States,England,الولايات المتحدة ,إنجلترا,1,8,2,11,18,73,9,United_States,England
Uruguay,England,أوروغواي,إنجلترا,3,3,5,11,45,27,27,Uruguay,England
Wales,England,ويلز,إنجلترا,19,51,13,83,16,61,23,Wales,England
Argentina,France,الأرجنتين,فرنسا,3,3,6,12,50,25,25,Argentina,France
