team_a,team_b,team_a_ar,team_b_ar,draw,loser,winner,total,winning_perc,losing_perc,draw_perc,team_a_txt,team_b_txt
France,Saudi Arabia,ألمانيا,السعودية,0,0,1,1,100,0,0,France,Saudi_Arabia
Germany,Saudi Arabia,غانا,السعودية,0,0,3,3,100,0,0,Germany,Saudi_Arabia
Ghana,Saudi Arabia,إيران,السعودية,2,1,2,5,40,20,40,Ghana,Saudi_Arabia
Iran,Saudi Arabia,اليابان,السعودية,6,4,4,14,29,29,43,Iran,Saudi_Arabia
Japan,Saudi Arabia,المكسيك,السعودية,1,4,10,15,67,27,7,Japan,Saudi_Arabia
Mexico,Saudi Arabia,المغرب,السعودية,1,0,4,5,80,0,20,Mexico,Saudi_Arabia
Morocco,Saudi Arabia,هولندا,السعودية,1,3,3,7,43,43,14,Morocco,Saudi_Arabia
Netherlands,Saudi Arabia,بولندا,السعودية,0,0,1,1,100,0,0,Netherlands,Saudi_Arabia
Poland,Saudi Arabia,البرتغال,السعودية,0,0,4,4,100,0,0,Poland,Saudi_Arabia
Portugal,Saudi Arabia,قطر,السعودية,0,0,2,2,100,0,0,Portugal,Saudi_Arabia
Qatar,Saudi Arabia,السنغال,السعودية,14,17,8,39,21,44,36,Qatar,Saudi_Arabia
Senegal,Saudi Arabia,كوريا الجنوبية,السعودية,0,2,0,2,0,100,0,Senegal,Saudi_Arabia
South Korea,Saudi Arabia,إسبانيا,السعودية,8,4,4,16,25,25,50,South_Korea,Saudi_Arabia
Spain,Saudi Arabia,تونس,السعودية,0,0,3,3,100,0,0,Spain,Saudi_Arabia
Tunisia,Saudi Arabia,الولايات المتحدة ,السعودية,1,3,4,8,50,38,12,Tunisia,Saudi_Arabia
United States,Saudi Arabia,أوروغواي,السعودية,2,2,2,6,33,33,33,United_States,Saudi_Arabia
Uruguay,Saudi Arabia,ويلز,السعودية,1,1,1,3,33,33,33,Uruguay,Saudi_Arabia
Wales,Saudi Arabia,الاكوادور,السعودية,0,0,1,1,100,0,0,Wales,Saudi_Arabia
Brazil,Senegal,البرازيل,السنغال,1,0,0,1,0,0,100,Brazil,Senegal
Cameroon,Senegal,الكاميرون,السنغال,5,5,3,13,23,38,38,Cameroon,Senegal
Croatia,Senegal,كرواتيا,السنغال,0,0,1,1,100,0,0,Croatia,Senegal
Denmark,Senegal,الدنمارك,السنغال,1,0,2,3,67,0,33,Denmark,Senegal
Ecuador,Senegal,الاكوادور,السنغال,0,2,0,2,0,100,0,Ecuador,Senegal
France,Senegal,فرنسا,السنغال,0,1,0,1,0,100,0,France,Senegal
Ghana,Senegal,غانا,السنغال,5,4,3,12,25,33,42,Ghana,Senegal
Iran,Senegal,إيران,السنغال,2,0,0,2,0,0,100,Iran,Senegal
Japan,Senegal,اليابان,السنغال,2,2,0,4,0,50,50,Japan,Senegal
Mexico,Senegal,المكسيك,السنغال,0,0,1,1,100,0,0,Mexico,Senegal
Morocco,Senegal,المغرب,السنغال,5,6,18,29,62,21,17,Morocco,Senegal
Poland,Senegal,بولندا,السنغال,0,1,0,1,0,100,0,Poland,Senegal
Saudi Arabia,Senegal,السعودية,السنغال,0,0,2,2,100,0,0,Saudi_Arabia,Senegal
South Korea,Senegal,كوريا الجنوبية,السنغال,1,3,1,5,20,60,20,South_Korea,Senegal
